d000.s000.t000 long%3:00:02::
d000.s090.t000 put%2:35:05::
d000.s090.t001 end%1:26:00::
d000.s090.t002 marginal%5:00:00:minimal:00
d000.s090.t003 claim%1:04:00::
d000.s090.t004 play%2:36:11::
d000.s090.t005 havoc%1:04:00::
d000.s090.t006 insurance%1:21:02::
d000.s090.t007 rate%1:21:00::
d000.s091.t000 also%4:02:00::
d000.s091.t001 beware%2:31:00::
d000.s091.t002 open-ended%5:00:00:unrestricted:00
d000.s091.t003 policy%1:10:02::
d000.s091.t004 especially%4:02:00::
d000.s091.t005 medical%3:01:00::
d000.s091.t006 field%1:09:00::
d000.s092.t000 mean%2:42:00::
d000.s092.t001 time%1:11:00::
d000.s092.t002 increase%1:11:00::
d000.s092.t003 hospital%1:06:00::
d000.s092.t004 rate%1:21:00::
d000.s092.t005 cost%1:21:00::
d000.s092.t006 go_up%2:30:00::
d000.s092.t007 manner%1:07:02::
d000.s093.t000 put%2:35:00::
d000.s093.t001 dollar%1:23:00::
d000.s093.t002 cent%1:23:00::
d000.s093.t003 limit%1:07:00::
d000.s093.t004 benefit%1:21:00::
d000.s094.t000 go%2:41:00::
d000.s094.t001 overboard%4:02:01::
d000.s094.t002 insurance%1:10:00::
d000.s094.t003 pay%2:40:00::
d000.s094.t004 benefit%1:21:00::
d000.s094.t005 only%4:02:01::
d000.s094.t006 death%1:11:00::
d000.s095.t000 generally%4:02:02::
d000.s095.t001 employee%1:18:00::
d000.s095.t002 greatly%4:02:00::
d000.s095.t003 appreciate%2:37:00::
d000.s095.t004 benefit%1:21:00::
d000.s095.t005 protect%2:33:00::
d000.s095.t006 working%5:00:00:employed:00
d000.s095.t007 life%1:26:02::
d000.s095.t008 retirement%1:26:00::
d000.s096.t000 grant%2:40:01::
d000.s096.t001 bereavement%1:26:00::
d000.s096.t002 leave%1:28:00::
d000.s096.t003 specify%2:32:02::
d000.s096.t004 maximum%3:00:00::
d000.s096.t005 time_off%1:28:00::
d000.s096.t006 list%2:32:00::
d000.s096.t007 worker%1:18:00::
d000.s096.t008 relation%1:03:00::
d000.s096.t009 deceased%1:18:00::
d000.s096.t010 be%2:42:06::
d000.s096.t011 qualify%2:42:00::
d000.s097.t000 thus%4:02:01::
d000.s097.t001 avoid%2:41:01::
d000.s097.t002 headache%1:09:00::
d000.s097.t003 employee%1:18:00::
d000.s097.t004 want%2:37:00::
d000.s097.t005 fourth%5:00:00:ordinal:00
d000.s097.t006 cousin%1:18:00::
d000.s097.t007 funeral%1:11:00::
d000.s098.t000 also%4:02:00::
d000.s098.t001 right%1:07:00::
d000.s098.t002 demand%2:32:02::
d000.s098.t003 proof%1:09:00::
d000.s098.t004 death%1:26:00::
d000.s098.t005 fact%1:09:01::
d000.s098.t006 probably%4:02:00::
d000.s098.t007 never%4:02:00::
d000.s098.t008 use%2:34:01::
d000.s099.t000 coffee_break%1:13:00::
d000.s099.t001 be%2:42:03::
d000.s099.t002 real%5:00:00:serious:00
d000.s099.t003 headache%1:09:00::
d000.s099.t004 not%4:02:00::
d000.s099.t005 regulated%3:00:00::
d000.s100.t000 vending_machine%1:06:00::
d000.s100.t001 alleviate%2:29:00::
d000.s100.t002 long%3:00:01::
d000.s100.t003 hike%1:04:00::
d000.s100.t004 cafeteria%1:06:00::
d000.s100.t005 break%1:04:05::
d000.s100.t006 waste%1:04:00::
d000.s100.t007 production%1:04:00::
d000.s100.t008 time%1:11:00::
d000.s101.t000 coffee%1:13:00::
d000.s101.t001 sell%2:40:00::
d000.s101.t002 cafeteria%1:06:00::
d000.s101.t003 let%2:41:00::
d000.s101.t004 a_few%5:00:00:few:00
d000.s101.t005 worker%1:18:00::
d000.s101.t006 department%1:14:00::
d000.s101.t007 get%2:35:03::
d000.s101.t008 whole%3:00:00::
d000.s101.t009 group%1:03:00::
d000.s102.t000 consider%2:31:01::
d000.s102.t001 install%2:35:00::
d000.s102.t002 supplemental%5:00:00:secondary:01
d000.s102.t003 serve%2:34:01::
d000.s102.t004 line%1:14:01::
d000.s102.t005 production%1:04:00::
d000.s102.t006 area%1:06:00::
d000.s103.t000 make%2:30:00::
d000.s103.t001 sure%5:00:00:careful:00
d000.s103.t002 milk%1:13:01::
d000.s103.t003 coffee%1:13:00::
d000.s103.t004 place%2:35:00::
d000.s103.t005 dispenser%1:06:00::
d000.s103.t006 rather%4:02:02::
d000.s103.t007 container%1:06:00::
d000.s103.t008 supply%2:40:00::
d000.s103.t009 coffee%1:13:00::
d000.s104.t000 saddle%2:35:10::
d000.s104.t001 good%5:00:00:ample:00
d000.s104.t002 size%5:00:00:sized:00
d000.s104.t003 milk%1:13:01::
d000.s104.t004 bill%1:10:01::
d000.s104.t005 milk%1:13:01::
d000.s104.t006 drinker%1:18:01::
d000.s105.t000 keep%2:42:00::
d000.s105.t001 retirement%1:26:00::
d000.s105.t002 age%1:07:00::
d000.s105.t003 flexible%3:00:02::
d000.s105.t004 so%4:02:06::
d000.s105.t005 skilled%3:00:00::
d000.s105.t006 craftsman%1:18:00::
d000.s105.t007 tool%1:06:00::
d000.s105.t008 die%1:06:01::
d000.s105.t009 maker%1:18:00::
d000.s105.t010 keep%2:42:00::
d000.s105.t011 on_the_job%5:00:00:employed:00
d000.s105.t012 convenience%1:26:00::
d000.s105.t013 company%1:14:01::
d000.s106.t000 so%4:02:06::
d000.s106.t001 deadhead%1:18:00::
d000.s106.t002 payroll%1:21:00::
d000.s106.t003 ease%2:38:00::
d000.s106.t004 earliest%4:02:00::
d000.s106.t005 possible%3:00:00::
d000.s106.t006 age%1:07:00::
d000.s107.t000 make%2:30:00::
d000.s107.t001 sure%5:00:00:careful:00
d000.s107.t002 have%2:42:00::
d000.s107.t003 minimum%3:00:00::
d000.s107.t004 age%1:07:00::
d000.s107.t005 time%1:28:00::
d000.s107.t006 on_the_job%5:00:00:employed:00
d000.s107.t007 requirement%1:09:01::
d000.s107.t008 tie%2:35:01::
d000.s107.t009 pension%1:21:00::
d000.s107.t010 plan%1:09:00::
d000.s108.t000 young%3:00:00::
d000.s108.t001 men%1:14:00::
d000.s108.t002 usually%4:02:00::
d000.s108.t003 think_of%2:31:01::
d000.s108.t004 pension%1:21:00::
d000.s108.t005 important%3:00:00::
d000.s108.t006 job%1:04:00::
d000.s108.t007 benefit%1:21:00::
d000.s108.t008 factor%1:09:00::
d000.s108.t009 anyhow%4:02:00::
d000.s108.t010 be%2:42:03::
d000.s108.t011 liable%5:00:00:likely:00
d000.s108.t012 change%2:30:05::
d000.s108.t013 job%1:04:00::
d000.s108.t014 several%5:00:00:different:00
d000.s108.t015 time%1:11:00::
d000.s108.t016 settle_down%2:30:00::
d000.s109.t000 choose%2:31:00::
d000.s109.t001 carefully%4:02:00::
d000.s109.t002 contributory%5:00:00:causative:00
d000.s109.t003 contributory%5:00:00:causative:00
d000.s109.t004 pension%1:21:00::
d000.s109.t005 plan%1:09:00::
d000.s110.t000 be%2:42:00::
d000.s110.t001 two%5:00:00:cardinal:00
d000.s110.t002 side%1:15:00::
d000.s110.t003 coin%1:21:02::
d000.s110.t004 decision%1:04:00::
d000.s111.t000 worker%1:18:00::
d000.s111.t001 usually%4:02:00::
d000.s111.t002 think_of%2:31:01::
d000.s111.t003 more%4:02:01::
d000.s111.t004 plan%1:09:00::
d000.s111.t005 contribute%2:40:00::
d000.s112.t000 at_least%4:02:01::
d000.s112.t001 collect%2:40:01::
d000.s112.t002 money%1:21:00::
d000.s112.t003 put_in%2:40:00::
d000.s112.t004 interest%1:21:00::
d000.s112.t005 leave%2:41:00::
d000.s112.t006 company%1:14:01::
d000.s113.t000 contributory%5:00:00:causative:00
d000.s113.t001 plan%1:09:00::
d000.s113.t002 usually%4:02:00::
d000.s113.t003 pay_off%2:40:02::
d000.s113.t004 worker%1:18:00::
d000.s113.t005 retire%2:41:01::
d000.s114.t000 thus%4:02:00::
d000.s114.t001 be%2:42:00::
d000.s114.t002 incentive%1:16:00::
d000.s114.t003 stay%2:30:00::
d000.s114.t004 on_the_job%5:00:00:employed:00
d000.s115.t000 make%2:30:00::
d000.s115.t001 sure%5:00:00:careful:00
d000.s115.t002 pay%2:40:00::
d000.s115.t003 holiday%1:28:00::
d000.s115.t004 employee%1:18:00::
d000.s115.t005 not%4:02:00::
d000.s115.t006 otherwise%4:02:01::
d000.s115.t007 work%2:41:02::
d000.s116.t000 include%2:42:00::
d000.s117.t000 leave_of_absence%1:28:00::
d000.s117.t001 illness%1:26:00::
d000.s117.t002 layoff%1:04:00::
d000.s118.t000 consider%2:31:01::
d000.s118.t001 adopt%2:40:02::
d000.s118.t002 system%1:14:00::
d000.s118.t003 holiday%1:28:00::
d000.s118.t004 time_off%1:28:00::
d000.s118.t005 grant%2:40:00::
d000.s118.t006 eye%1:09:00::
d000.s118.t007 minimum%3:00:00::
d000.s118.t008 operation%1:26:00::
d000.s118.t009 plant%1:06:01::
d000.s119.t000 usually%4:02:00::
d000.s119.t001 not%4:02:00::
d000.s119.t002 too%4:02:00::
d000.s119.t003 hard%3:00:06::
d000.s119.t004 sell%2:32:00::
d000.s119.t005 worker%1:18:00::
d000.s119.t006 give%2:40:03::
d000.s119.t007 longer%4:02:00::
d000.s119.t008 holiday%1:28:00::
d000.s119.t009 period%1:28:00::
d000.s120.t000 for_example%4:02:00::
d000.s120.t001 friday%1:28:00::
d000.s120.t002 thanksgiving%1:28:00::
d000.s120.t003 substitute%2:40:00::
d000.s120.t004 washington%1:18:00::
d000.s120.t005 birthday%1:28:00::
d000.s121.t000 reduce%2:30:00::
d000.s121.t001 number%1:07:00::
d000.s121.t002 expensive%3:00:00::
d000.s121.t003 plant%1:06:01::
d000.s121.t004 shutdown%1:04:00::
d000.s121.t005 startup%1:04:01::
d000.s122.t000 require%2:32:00::
d000.s122.t001 employee%1:18:00::
d000.s122.t002 work%2:41:02::
d000.s122.t003 last%3:00:00::
d000.s122.t004 shift%1:28:00::
d000.s122.t005 holiday%1:28:00::
d000.s122.t006 be%2:42:03::
d000.s122.t007 eligible%3:00:00::
d000.s122.t008 pay%1:21:01::
d000.s123.t000 cut%2:30:06::
d000.s123.t001 absentee_rate%1:24:00::
d000.s124.t000 consider%2:31:01::
d000.s124.t001 use%2:34:01::
d000.s124.t002 vending_machine%1:06:00::
d000.s124.t003 rather%4:02:02::
d000.s124.t004 subsidize%2:40:00::
d000.s124.t005 cafeteria%1:06:00::
d000.s125.t000 model%1:09:03::
d000.s125.t001 serve%2:34:01::
d000.s125.t002 hot%3:00:01::
d000.s125.t003 meal%1:13:00::
d000.s125.t004 reasonable%5:00:00:moderate:00
d000.s125.t005 price%1:07:00::
d000.s125.t006 profit%1:07:00::
d000.s126.t000 concessionaire%1:18:00::
d000.s126.t001 run%2:41:02::
d000.s126.t002 cafeteria%1:06:00::
d000.s126.t003 keep_an_eye_on%2:41:00::
d000.s126.t004 quality%1:07:02::
d000.s126.t005 price%1:07:00::
d000.s127.t000 soup%1:13:00::
d000.s127.t001 taste%2:39:02::
d000.s127.t002 dishwater%1:27:00::
d000.s127.t003 employee%1:18:00::
